Year,Crop,Rainfall(mm),Temperature(°C),CO2(ppm),Yield(t/ha)
2000,Rice,949.6714153011233,26.792603548243225,416.4768853810069,4.7684925242118945
2001,Rice,876.5846625276664,26.648794564576228,425.7921281550739,4.563265197896885
2002,Rice,853.0525614065048,27.813840065378947,405.36582307187535,4.3142059672589115
2003,Rice,924.1962271566034,24.130079633013302,392.75082167486966,4.618410541413315
2004,Rice,798.7168879665576,27.471370998892912,400.9197592447879,4.123554615099728
2005,Rice,1046.5648768921553,26.661335549270195,410.67528204687926,4.668263439746335
2006,Rice,845.5617275474817,27.166383884564798,398.49006422577696,4.408864126927068
2007,Rice,839.9361310081194,26.562459375310084,403.98293387770605,4.580960045579334
2008,Rice,898.6502775262067,25.413433606566148,418.2254491210319,4.462769958848036
2009,Rice,920.8863595004756,24.060494814180338,396.7181395110157,4.695152241389862
2010,Rice,973.8466579995411,27.257052421784955,408.8435171761176,4.603573842527023
2011,Rice,752.1478009632573,25.920233687407936,405.39361229040213,4.359389752468411
2012,Rice,934.3618289568461,24.3554397669559,413.240839693948,4.665684281218213
2013,Rice,832.3077999694042,27.917514433261303,420.3099952249595,4.4221778854123235
2014,Rice,816.0782476777362,26.536181436223178,413.3126343140356,4.456214570570585
2015,Rice,852.082576215471,26.721511535004275,398.9366502599397,4.287405563532602
2016,Rice,981.2525822394198,29.034360042856235,409.2798987841967,4.660420350909427
2017,Rice,936.1636025047634,26.032320368092314,413.61395605508415,4.778128799306592
2018,Rice,896.4173960890048,29.34696548372101,383.8025489591026,4.431479317388583
2019,Rice,908.7047068238171,26.5514889743012,410.917607765355,4.341995681237839
2020,Rice,878.0328112162488,27.53566885726762,424.77894044741515,4.392234098189166
2021,Rice,819.1506397106813,26.247364434623194,419.15402117702075,4.417962189833193
2022,Rice,847.0239796232961,27.769901149670034,410.9707754934804,4.4533881763098595
2023,Rice,829.7946906122647,26.508506780103346,406.0789184686784,4.233891465874829
2024,Rice,929.6120277064576,27.391582908269832,410.0511345664246,4.516237331228334
2000,Wheat,758.4629257949586,26.36903201585196,406.5728548347323,4.16481937870989
2001,Wheat,883.8714288333991,27.606076285221807,428.8618590121053,4.473758683700997
2002,Wheat,925.7550390722764,26.88833112635075,390.8122878470096,4.535254422129103
2003,Wheat,906.0230209941027,30.694863168727927,408.07639035218875,4.35553400813736
2004,Wheat,896.5288230294757,25.246982943570703,421.42822814515023,4.667330030294244
2005,Wheat,979.1031947043047,25.63591881780789,424.027943109361,4.600253285348348
2006,Wheat,958.685709380027,30.28568343871497,400.0946367486931,4.386552110612721
2007,Wheat,909.9651365087641,26.244786518825702,394.4933656893387,4.549040610246185
2008,Wheat,793.7696286273895,27.710388645952772,400.80575765766196,4.397819023116557
2009,Wheat,821.6746707663763,26.516907725691485,418.1351721736967,4.252552695778479
2010,Wheat,922.7459934604129,28.960714131423643,393.92516765438774,4.449844833857262
2011,Wheat,925.9882794248424,28.172734307665966,397.6304928912192,4.348924675049179
2012,Wheat,952.1941565616897,27.44547700984978,412.50492850345876,4.6192642120840475
2013,Wheat,831.9975278421509,27.348380545741506,412.9307247329868,4.278071611327577
2014,Wheat,1086.5774511144757,27.71074938136768,398.0869650279735,4.891359759051924
2015,Wheat,802.5318329772679,28.18062690561368,421.585955790074,4.175550044628754
2016,Wheat,996.3376129244322,27.619171390404748,418.22060159994487,4.859616556193966
2017,Wheat,875.4611883997129,25.869395753463767,401.10485570374476,4.416976416333439
2018,Wheat,892.2898290585896,27.511727962224967,412.7669079933002,4.544478492902834
2019,Wheat,901.3001891877907,29.180301115735976,407.35343166762044,4.662955670915365
2020,Wheat,962.5667347765007,25.714263665375576,399.29107501938887,4.72695860282793
2021,Wheat,877.6537214674149,28.07100074113814,414.73237624573545,4.399206890857971
2022,Wheat,815.3206281931596,24.7277291629712,405.5348504793298,4.525429528149436
2023,Wheat,921.4093744130204,25.131391831932017,411.7318092585118,4.676512704460835
2024,Wheat,811.6142563798867,27.230587658918292,410.58208718446,4.1979841872152575
2000,Maize,935.7787360348283,27.841176789552353,420.83051243175277,4.645709350227281
2001,Maize,762.2330632042908,25.593262440127315,415.15035267208657,4.351331952165523
2002,Maize,951.5047686306048,32.77909723598208,415.7089051069317,4.433320144587098
2003,Maize,995.4001763493202,27.977086876958698,406.8473075535965,4.714690238453629
2004,Maize,822.7174785462428,26.644772089889987,405.14636452170896,4.366530131058327
2005,Maize,1131.4658566673509,24.19910221111238,416.86260190374514,4.948567617563863
2006,Maize,852.8068134210566,28.633425895451047,410.64280019095463,4.216810654467585
2007,Maize,828.4696290740031,28.019396623402013,402.69633368282865,4.3203116196189315
2008,Maize,904.5571839903814,26.022599478591275,431.4394408932533,4.642815737176254
2009,Maize,697.4857413342393,27.27968147215414,403.38213535231614,4.159612877892711
2010,Maize,820.7479261567299,26.827895337799653,415.04987278980457,4.4417264776302945
2011,Maize,779.9703592944223,26.498248146238577,405.25054688839043,4.214945934907934
2012,Maize,1076.5454240281097,27.607472566441434,397.3911604566496,4.901894574896274
2013,Maize,1112.2156197012632,28.54869789082672,394.80630034045987,4.783379237915025
2014,Maize,1026.6911149186624,25.93849580157183,414.4381942814623,4.888359039383129
2015,Maize,807.3069528421917,26.9107119659073,377.5873265993093,4.184226869854899
2016,Maize,874.743184860684,25.128325227052727,426.32411303931633,4.416380083611984
2017,Maize,855.9955513303016,27.196110865929136,424.4127328906612,4.273012077136864
2018,Maize,1016.316375215496,27.01534959152938,400.1849134895205,4.768260531770371
2019,Maize,919.905969557347,26.099674684261807,410.6980208499002,4.546994866065328
2020,Maize,911.3517345251248,27.99319601178157,425.86016816145354,4.365122286739939
2021,Maize,1113.3033374656266,24.071868300716247,408.4821490496442,5.130327129593542
2022,Maize,928.0991867735032,26.06595072026911,407.91877749642725,4.551519521564095
